Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
61,tt6483364,4/20/2019,4/20/2019,,Teen Spirit,https://www.imdb.com/title/tt6483364/,movie,6.1,93,2018,"Drama, Music",6127,9/7/2018,Max Minghella
62,tt4777008,10/20/2019,10/20/2019,,Maleficent: Mistress of Evil,https://www.imdb.com/title/tt4777008/,movie,6.7,119,2019,"Adventure, Family, Fantasy",50175,10/16/2019,Joachim Rønning
63,tt1987680,1/14/2019,1/14/2019,,The Upside,https://www.imdb.com/title/tt1987680/,movie,6.9,126,2017,"Comedy, Drama",36955,9/8/2017,Neil Burger
64,tt2935510,9/21/2019,9/21/2019,,Ad Astra,https://www.imdb.com/title/tt2935510/,movie,6.6,123,2019,"Adventure, Drama, Mystery, Sci-Fi, Thriller",136492,8/29/2019,James Gray
65,tt4154664,3/9/2019,3/9/2019,,Captain Marvel,https://www.imdb.com/title/tt4154664/,movie,6.9,123,2019,"Action, Adventure, Sci-Fi",392291,2/27/2019,"Anna Boden, Ryan Fleck"
66,tt7798634,8/23/2019,8/23/2019,,Ready or Not,https://www.imdb.com/title/tt7798634/,movie,6.9,95,2019,"Comedy, Horror, Mystery, Thriller",60998,7/27/2019,"Matt Bettinelli-Olpin, Tyler Gillett"
67,tt6902696,3/23/2019,3/23/2019,,Gloria Bell,https://www.imdb.com/title/tt6902696/,movie,6.3,102,2018,"Comedy, Drama, Romance",7197,9/7/2018,Sebastián Lelio
68,tt9507276,5/17/2019,5/17/2019,,Saga of Tanya the Evil Movie,https://www.imdb.com/title/tt9507276/,movie,7.6,115,2019,"Animation, Action, Adventure, Fantasy, War",368,2/8/2019,Yutaka Uemura
69,tt6141246,12/29/2019,12/29/2019,Not in theater.,The Aeronauts,https://www.imdb.com/title/tt6141246/,movie,6.6,100,2019,"Action, Adventure, Biography, Drama, Romance",14386,8/30/2019,Tom Harper
70,tt6107548,6/17/2019,6/17/2019,,Late Night,https://www.imdb.com/title/tt6107548/,movie,6.5,102,2019,"Comedy, Drama",17860,1/25/2019,Nisha Ganatra
71,tt1560220,10/18/2019,10/18/2019,,Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,movie,6.8,99,2019,"Action, Comedy, Horror",77442,10/9/2019,Ruben Fleischer
72,tt6189022,8/28/2019,8/28/2019,,Angel Has Fallen,https://www.imdb.com/title/tt6189022/,movie,6.4,121,2019,"Action, Thriller",49890,8/20/2019,Ric Roman Waugh
73,tt10627720,8/31/2019,8/31/2019,,Ne Zha zhi mo tong jiang shi,https://www.imdb.com/title/tt10627720/,movie,7.7,110,2019,"Animation, Action, Adventure, Family, Fantasy, Thriller",2749,7/11/2019,Yu Yang
74,tt8623904,11/25/2019,11/25/2019,,Last Christmas,https://www.imdb.com/title/tt8623904/,movie,6.5,103,2019,"Comedy, Drama, Romance",24264,11/7/2019,Paul Feig
75,tt7958736,6/2/2019,6/2/2019,,Ma,https://www.imdb.com/title/tt7958736/,movie,5.6,99,2019,"Horror, Mystery, Thriller",26202,5/30/2019,Tate Taylor
76,tt3861390,4/5/2019,4/5/2019,,Dumbo,https://www.imdb.com/title/tt3861390/,movie,6.3,112,2019,"Adventure, Family, Fantasy",55143,3/11/2019,Tim Burton
77,tt3361792,5/11/2019,5/11/2019,,Tolkien,https://www.imdb.com/title/tt3361792/,movie,6.8,112,2019,"Biography, Drama, History, War",22405,4/29/2019,Dome Karukoski
